match_id,referee,fourthOfficial,firstAssistant,secondAssistant,season_id,home_id,away_id,label,dateutc,winner,loser,home_team,away_team,home_logo,away_logo
5028006,M. Bellote,S. El Aatifi,,,185923,16184,16214,"Moghreb Tétouan - Raja Beni Mellal, 0 - 0",2020-02-25 18:00:00,,,Moghreb Tétouan,Raja Beni Mellal,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png,https://cdn5.wyscout.com/photos/team/public/2604_120x120.png
5523346,M. Lahouidri,A. Mohamed,,,189260,35390,16173,"JS Soualem - Ittihad Tanger, 1 - 3",2024-02-07 15:00:00,Ittihad Tanger,JS Soualem,JS Soualem,Ittihad Tanger,https://cdn5.wyscout.com/photos/team/public/g34629_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png
2634609,K. Ennouni,,,,181442,16173,16210,"Ittihad Tanger - Chabab Atlas Khénifra, 1 - 0",2017-11-25 15:00:00,Ittihad Tanger,Chabab Atlas Khénifra,Ittihad Tanger,Chabab Atlas Khénifra,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,https://cdn5.wyscout.com/photos/team/public/g13637_120x120.png
5021732,A. Lamssalak,,,,185923,60275,22864,"CR Khemis Zemamra - Rapide Oued Zem, 2 - 0",2019-11-01 17:00:00,Khemis Zemamra,Rapide Oued Zem,Khemis Zemamra,Rapide Oued Zem,https://cdn5.wyscout.com/photos/team/public/g39043_120x120.png,https://cdn5.wyscout.com/photos/team/public/g22136_120x120.png
5187434,A. Zourak,H. Errahmani,,,186508,16196,16198,"RSB Berkane - Youssoufia Berrechid, 1 - 1",2021-06-09 18:15:00,,,RSB Berkane,Youssoufia Berrechid,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png
5282663,J. Jiyed,,,,187701,16196,16179,"RSB Berkane - Olympic Safi, 1 - 1",2021-09-19 18:15:00,,,RSB Berkane,Olympic Safi,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png
2775564,Y. Abu Salim,,,,185922,16202,16175,"Chabab Rif Hoceima - Kawkab Marrakech, 1 - 0",2018-10-27 15:00:00,Chabab Rif Hoceima,Kawkab Marrakech,Chabab Rif Hoceima,Kawkab Marrakech,https://cdn5.wyscout.com/photos/team/public/2846_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3468_120x120.png
5282819,M. Kechaf,Tarek Al Moutamni,,,187701,16198,16171,"Youssoufia Berrechid - Hassania Agadir, 0 - 1",2022-04-23 22:00:00,Hassania Agadir,Youssoufia Berrechid,Youssoufia Berrechid,Hassania Agadir,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png
2775708,R. Jayed,M. Nheyeh,,,185922,16196,16195,"RSB Berkane - FUS Rabat, 0 - 0",2019-01-23 16:00:00,,,RSB Berkane,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png
2775925,N. El Jaafari,,,,185922,16184,16202,"Moghreb Tétouan - Chabab Rif Hoceima, 2 - 1",2019-05-05 15:00:00,Moghreb Tétouan,Chabab Rif Hoceima,Moghreb Tétouan,Chabab Rif Hoceima,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png,https://cdn5.wyscout.com/photos/team/public/2846_120x120.png
5523311,A. Errakhis,,,,189260,16184,16196,"Moghreb Tétouan - RSB Berkane, 0 - 0",2023-12-13 17:00:00,,,Moghreb Tétouan,RSB Berkane,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png
5282771,T. Hicham,,K. Sabri,,187701,16195,16168,"FUS Rabat - Chabab Mohammédia, 2 - 0",2022-02-04 15:00:00,FUS Rabat,Chabab Mohammédia,FUS Rabat,Chabab Mohammédia,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png,https://cdn5.wyscout.com/photos/team/public/3237_120x120.png
5187463,M. Bellote,,,,186508,60275,16184,"Khemis Zemamra - Moghreb Tétouan, 3 - 0",2021-07-04 16:00:00,Khemis Zemamra,Moghreb Tétouan,Khemis Zemamra,Moghreb Tétouan,https://cdn5.wyscout.com/photos/team/public/g39043_120x120.png,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png
5395339,M. Lahouidri,,,,188370,16183,16184,"Wydad Casablanca - Moghreb Tétouan, 2 - 0",2023-05-29 19:00:00,Wydad Casablanca,Moghreb Tétouan,Wydad Casablanca,Moghreb Tétouan,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png
5395293,H. El Fariq,M. Zerzay,,,188370,16173,16195,"Ittihad Tanger - FUS Rabat, 1 - 0",2023-04-03 22:00:00,Ittihad Tanger,FUS Rabat,Ittihad Tanger,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png
5523254,T. Youssef,Mouhcine Sordy,,,189260,60275,16176,"Khemis Zemamra - Maghreb Fès, 1 - 1",2023-09-25 20:30:00,,,Khemis Zemamra,Maghreb Fès,https://cdn5.wyscout.com/photos/team/public/g39043_120x120.png,https://cdn5.wyscout.com/photos/team/public/2313_120x120.png
5395155,H. El Fariq,T. Youssef,,,188370,16196,16179,"RSB Berkane - Olympic Safi, 1 - 2",2022-09-18 17:00:00,Olympic Safi,RSB Berkane,RSB Berkane,Olympic Safi,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png
